From_Station,To_Station,Line,Has_Signal,Travel_Time
Elephant & Castle,Lambeth North,bakerloo,False,0
Lambeth North,Waterloo,bakerloo,False,2
Waterloo,Embankment,bakerloo,True,14
Embankment,Charing Cross,bakerloo,false,0
Charing Cross,Piccadilly Circus,bakerloo,True,0
Piccadilly Circus,Oxford Circus,bakerloo,True,2
Oxford Circus,Regent's Park,bakerloo,True,2
Regent's Park,Baker Street,bakerloo,False,2
Baker Street,Marylebone,bakerloo,False,0
Marylebone,Edgware Road (Bakerloo),bakerloo,True,0
Edgware Road (Bakerloo),Paddington,bakerloo,True,0
Paddington,Warwick Avenue,bakerloo,True,0
Warwick Avenue,Maida Vale,bakerloo,True,2
Maida Vale,Kilburn Park,bakerloo,True,2
Kilburn Park,Queen's Park,bakerloo,True,0
Queen's Park,Kensal Green,bakerloo,True,0
Kensal Green,Willesden Junction,bakerloo,True,0
Willesden Junction,Harlesden,bakerloo,True,0
Harlesden,Stonebridge Park,bakerloo,True,0
Stonebridge Park,Wembley Central,bakerloo,True,0
Wembley Central,North Wembley,bakerloo,False,0
North Wembley,South Kenton,bakerloo,False,0
South Kenton,Kenton,bakerloo,True,0
Kenton,Harrow & Wealdstone,bakerloo,True,0
Harrow & Wealdstone,Kenton,bakerloo,True,0
Kenton,South Kenton,bakerloo,True,0
South Kenton,North Wembley,bakerloo,False,0
North Wembley,Wembley Central,bakerloo,False,0
Wembley Central,Stonebridge Park,bakerloo,True,0
Stonebridge Park,Harlesden,bakerloo,True,0
Harlesden,Willesden Junction,bakerloo,True,0
Willesden Junction,Kensal Green,bakerloo,True,0
Kensal Green,Queen's Park,bakerloo,True,0
Queen's Park,Kilburn Park,bakerloo,True,0
Kilburn Park,Maida Vale,bakerloo,True,2
Maida Vale,Warwick Avenue,bakerloo,True,1
Warwick Avenue,Paddington,bakerloo,True,0
Paddington,Edgware Road (Bakerloo),bakerloo,True,0
Edgware Road (Bakerloo),Marylebone,bakerloo,True,0
Marylebone,Baker Street,bakerloo,False,0
Baker Street,Regent's Park,bakerloo,False,1
Regent's Park,Oxford Circus,bakerloo,True,2
Oxford Circus,Piccadilly Circus,bakerloo,True,2
Piccadilly Circus,Charing Cross,bakerloo,True,0
Charing Cross,Embankment,bakerloo,True,0
Embankment,Waterloo,bakerloo,False,14
Waterloo,Lambeth North,bakerloo,False,2
Lambeth North,Elephant & Castle,bakerloo,False,0
Ealing Broadway,West Acton,central,True,0
West Acton,North Acton,central,True,3
North Acton,East Acton,central,True,2
East Acton,White City,central,True,4
White City,Shepherd's Bush (Central),central,False,3
Shepherd's Bush (Central),Holland Park,central,False,1
Holland Park,Notting Hill Gate,central,True,1
Notting Hill Gate,Queensway,central,True,2
Queensway,Lancaster Gate,central,True,1
Lancaster Gate,Marble Arch,central,True,3
Marble Arch,Bond Street,central,True,0
Bond Street,Oxford Circus,central,True,0
Oxford Circus,Tottenham Court Road,central,True,0
Tottenham Court Road,Holborn,central,True,0
Holborn,Chancery Lane,central,True,1
Chancery Lane,St. Paul's,central,False,2
St. Paul's,Bank,central,False,0
Bank,Liverpool Street,central,True,0
Liverpool Street,Bethnal Green,central,False,0
Bethnal Green,Mile End,central,False,0
Mile End,Stratford,central,True,0
Stratford,Leyton,central,True,0
Leyton,Leytonstone,central,True,0
Leytonstone,Snaresbrook,central,True,0
Snaresbrook,South Woodford,central,False,0
South Woodford,Woodford,central,False,0
Woodford,Buckhurst Hill,central,False,0
Buckhurst Hill,Loughton,central,False,0
Loughton,Debden,central,True,0
Debden,Theydon Bois,central,True,0
Theydon Bois,Epping,central,True,0
Leytonstone,Wanstead,central,True,0
Wanstead,Redbridge,central,True,0
Redbridge,Gants Hill,central,False,0
Gants Hill,Newbury Park,central,False,0
Newbury Park,Barkingside,central,True,0
Barkingside,Fairlop,central,True,0
Fairlop,Hainault,central,True,0
Epping,Theydon Bois,central,True,0
Theydon Bois,Debden,central,True,0
